docente_ci,nombre,email,esDocente,total_materias
5000049,Carmen Rivera Aguilar,carmen.rivera@gmail.com,True,12
5000039,Santiago Muñoz Fernández,santiago.muñoz@gmail.com,True,3
5000023,Paola González Torres,paola.gonzalez@gmail.com,True,2
5000029,Andrea Martínez Serrano,andrea.martinez@gmail.com,True,2
5000022,Javier Romero Suárez,javier.romero@gmail.com,True,2
5000008,Álvaro Gómez Ruiz,alvaro.gomez@gmail.com,True,2
5000010,Ricardo Domínguez Gutiérrez,ricardo.dominguez@gmail.com,True,2
5000014,Pablo Sánchez López,pablo.sanchez@gmail.com,True,2
5000025,Claudia Ruiz Ramírez,claudia.ruiz@gmail.com,True,2
5000007,Elena Alonso Gómez,elena.alonso@gmail.com,True,1
5000044,Beatriz García Serrano,beatriz.garcia@gmail.com,True,4
5000019,Carmen Gutiérrez Rodríguez,carmen.gutierrez@gmail.com,True,2
5000018,Héctor Torres Ruiz,hector.torres@gmail.com,True,2
5000011,Lucía Vázquez Martín,lucia.vazquez@gmail.com,True,2
5000042,Nicolás Díaz Muñoz,nicolas.diaz@gmail.com,True,4
5000026,Eduardo Pérez Gómez,eduardo.perez@gmail.com,True,2
5000031,Alejandra Moreno Torres,alejandra.moreno@gmail.com,True,2
5000035,Gabriela Ramos Ruiz,gabriela.ramos@gmail.com,True,3
5000016,Gonzalo Vázquez Torres,gonzalo.vazquez@gmail.com,True,2
5000045,Admin,admin@gmail.com,False,4
5000002,Carlos Ruiz Muñoz,carlos.ruiz@gmail.com,True,2
5000020,Luis Moreno Romero,luis.moreno@gmail.com,True,2
5000030,Manuel Domínguez Muñoz,manuel.dominguez@gmail.com,True,2
5000013,Claudia Sánchez Gutiérrez,claudia.sanchez@gmail.com,True,2
5000006,Alejandro Gómez Torres,alejandro.gomez@gmail.com,True,1
5000033,Victoria Navarro Fernández,victoria.navarro@gmail.com,True,3
5000000,David Díaz Gutiérrez,david.diaz@gmail.com,True,2
5000004,Sergio Ruiz Gómez,sergio.ruiz@gmail.com,True,1
5000036,Luis Pérez Romero,luis.perez@gmail.com,True,3
5000038,Daniela Martín Gutiérrez,daniela.martin@gmail.com,True,3
5000021,Elena Martínez Gómez,elena.martinez@gmail.com,True,2
5000009,Daniela Navarro Muñoz,daniela.navarro@gmail.com,True,2
5000034,José Gómez Suárez,jose.gomez@gmail.com,True,3
5000028,Gabriel Alonso Moreno,gabriel.alonso@gmail.com,True,2
5000040,Roberto Vázquez Vázquez,roberto.vazquez@gmail.com,True,4
5000017,Ana Sánchez Muñoz,ana.sanchez@gmail.com,True,2
5000041,Rosa López Torres,rosa.lopez@gmail.com,True,4
5000043,Rodrigo Álvarez Sánchez,rodrigo.alvarez@gmail.com,True,4
5000047,Gloria Herrera Cruz,gloria.herrera@gmail.com,True,4
5000048,Fernando Flores Espinoza,fernando.flores@gmail.com,True,4
5000046,Alberto Vargas Mendoza,alberto.vargas@gmail.com,True,4
5000037,Javier Martín Jiménez,javier.martin@gmail.com,True,3
5000027,Camila Álvarez Martínez,camila.alvarez@gmail.com,True,2
5000024,David Navarro López,david.navarro@gmail.com,True,2
5000001,Isabella Ruiz Domínguez,isabella.ruiz@gmail.com,True,2
5000015,Ana Ramos Sánchez,ana.ramos@gmail.com,True,2
5000012,Fernando Martín Torres,fernando.martin@gmail.com,True,2
5000003,Alejandra Gómez Romero,alejandra.gomez@gmail.com,True,2
5000032,Carlos Moreno Hernández,carlos.moreno@gmail.com,True,3
5000005,Victoria Navarro López,victoria.navarro@gmail.com,True,1
